Lead,Wave_Type,Start,Peak,End,Amplitude,Frequency,Magnitude
lead_1,T_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,-8.74443384223916,177.88938676268745
lead_1,T_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,-7.495229007633565,66.03316109097791
lead_1,T_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,-6.246024173027971,221.89498598715147
lead_1,T_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,-4.996819338422377,108.82773711957934
lead_1,T_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,-3.7476145038167825,449.12968909105365
lead_1,T_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,-2.4984096692111883,323.12380276054415
lead_1,T_wave,2.6416804583068108,3.0419350732017825,3.4421896880967537,263.3152173913043,-1.2492048346055942,927.6894719079407
lead_1,T_wave,5.763666454487588,6.163921069382559,6.56417568427753,428.2336956521739,0.0,633.3423913043478
lead_1,T_wave,5.763666454487588,6.163921069382559,6.56417568427753,428.2336956521739,1.7845783351508486,613.031424582739
lead_1,T_wave,5.763666454487588,6.163921069382559,6.56417568427753,428.2336956521739,3.5691566703016973,556.1210978103338
lead_1,T_wave,5.763666454487588,6.163921069382559,6.56417568427753,428.2336956521739,5.353735005452545,473.8823788172694
lead_1,T_wave,5.763666454487588,6.163921069382559,6.56417568427753,428.2336956521739,7.1383133406033945,382.60225997225905
lead_1,T_wave,5.763666454487588,6.163921069382559,6.56417568427753,428.2336956521739,8.922891675754244,300.3583331242199
lead_1,T_wave,5.763666454487588,6.163921069382559,6.56417568427753,428.2336956521739,10.70747001090509,243.4401168499359
lead_1,T_wave,5.763666454487588,6.163921069382559,6.56417568427753,428.2336956521739,-12.49204834605594,223.12499999999994
lead_1,T_wave,5.763666454487588,6.163921069382559,6.56417568427753,428.2336956521739,-10.70747001090509,243.4401168499359
lead_1,T_wave,5.763666454487588,6.163921069382559,6.56417568427753,428.2336956521739,-8.922891675754244,300.3583331242199
lead_1,T_wave,5.763666454487588,6.163921069382559,6.56417568427753,428.2336956521739,-7.1383133406033945,382.60225997225905
lead_1,T_wave,5.763666454487588,6.163921069382559,6.56417568427753,428.2336956521739,-5.353735005452545,473.88237881726934
lead_1,T_wave,5.763666454487588,6.163921069382559,6.56417568427753,428.2336956521739,-3.5691566703016973,556.1210978103338
lead_1,T_wave,5.763666454487588,6.163921069382559,6.56417568427753,428.2336956521739,-1.7845783351508486,613.031424582739
lead_2,P_wave,0.16010184595798854,0.5603564608529599,0.9606110757479313,1530.0,0.0,5792.934782608696
lead_2,P_wave,0.16010184595798854,0.5603564608529599,0.9606110757479313,1530.0,1.2492048346055975,4457.357098141907
lead_2,P_wave,0.16010184595798854,0.5603564608529599,0.9606110757479313,1530.0,2.498409669211195,2442.172512644749
lead_2,P_wave,0.16010184595798854,0.5603564608529599,0.9606110757479313,1530.0,3.7476145038167923,1684.180476317912
lead_2,P_wave,0.16010184595798854,0.5603564608529599,0.9606110757479313,1530.0,4.99681933842239,549.7793128733306
lead_2,P_wave,0.16010184595798854,0.5603564608529599,0.9606110757479313,1530.0,6.246024173027988,303.3313601455208
lead_2,P_wave,0.16010184595798854,0.5603564608529599,0.9606110757479313,1530.0,7.495229007633585,557.5547074291306
lead_2,P_wave,0.16010184595798854,0.5603564608529599,0.9606110757479313,1530.0,8.744433842239182,1631.3034260946329
lead_2,P_wave,0.16010184595798854,0.5603564608529599,0.9606110757479313,1530.0,9.99363867684478,1667.6545316749566
lead_2,P_wave,0.16010184595798854,0.5603564608529599,0.9606110757479313,1530.0,11.242843511450378,1149.940783350039
lead_2,P_wave,0.16010184595798854,0.5603564608529599,0.9606110757479313,1530.0,-12.492048346055975,1133.641304347826
lead_2,P_wave,0.16010184595798854,0.5603564608529599,0.9606110757479313,1530.0,-11.242843511450378,1149.9407833500386
lead_2,P_wave,0.16010184595798854,0.5603564608529599,0.9606110757479313,1530.0,-9.99363867684478,1667.6545316749566
